port_src;packets;bytes_total
https;5691;6912168
34862;255;15111
53328;205;12900
53329;194;14979
53324;189;18379
40678;159;5306
40682;150;3731
53325;149;12937
53326;148;11935
53327;137;11867
40684;119;3400
40680;115;3641
40679;93;4011
40683;85;3352
53478;82;1701
41767;79;6931
53416;64;2109
ssh;60;5940
50245;60;196
41372;57;906
http;41;6920
48264;38;1063
33251;37;1274
40686;30;1489
53480;28;937
43668;27;1661
53481;27;941
53418;26;810
53419;26;810
53417;26;809
34595;25;1120
41373;20;954
53420;18;539
48265;18;534
59822;17;1549
48896;17;887
39653;16;1552
42539;16;998
53421;16;539
33253;16;538
53479;16;531
53482;16;531
53483;16;531
53440;15;817
54055;15;800
37231;12;1728
37257;8;863
37256;7;432
55498;6;510
34621;6;429
35207;6;415
43717;6;286
33513;5;457
42612;5;0
51712;5;0
35405;4;431
50019;4;0
37253;4;0
37254;4;0
37255;4;0
41374;4;0
41375;4;0
50374;2;52
48782;2;46
37597;2;46
38906;2;46
55948;2;46
38328;2;46
55209;2;46
48702;2;0
54473;2;0
2465;1;120
2466;1;120
2467;1;120
2468;1;120
2469;1;120
2470;1;120
2471;1;120
2472;1;120
2473;1;120
2474;1;120
2475;1;120
2476;1;120
2477;1;120
2478;1;120
2479;1;120
2480;1;120
2481;1;120
2482;1;120
2483;1;120
2484;1;120
2485;1;120
2486;1;120
2487;1;120
2488;1;120
2489;1;120
2490;1;120
2491;1;120
2492;1;120
2493;1;120
2494;1;120
2495;1;120
2496;1;120
2497;1;120
2498;1;120
2499;1;120
2500;1;120
2501;1;120
2502;1;120
2503;1;120
2504;1;120
2505;1;120
2506;1;120
2507;1;120
2508;1;120
2509;1;120
2510;1;120
2511;1;120
2512;1;120
2513;1;120
2514;1;120
2515;1;120
2516;1;120
2517;1;120
2518;1;120
2519;1;120
2520;1;120
2521;1;120
2522;1;120
2523;1;120
2524;1;120
2525;1;120
2526;1;120
2527;1;120
2528;1;120
2529;1;120
2530;1;120
2531;1;120
2532;1;120
2533;1;120
2534;1;120
2535;1;120
2536;1;120
2537;1;120
2538;1;120
2539;1;120
2540;1;120
2541;1;120
2542;1;120
2543;1;120
2544;1;120
2545;1;120
2546;1;120
2547;1;120
2548;1;120
2549;1;120
2550;1;120
2551;1;120
2552;1;120
2553;1;120
2554;1;120
2555;1;120
2556;1;120
2557;1;120
2558;1;120
2559;1;120
2560;1;120
2561;1;120
2562;1;120
2563;1;120
2564;1;120
2565;1;120
2566;1;120
2567;1;120
2568;1;120
2569;1;120
2570;1;120
2571;1;120
2572;1;120
2573;1;120
2574;1;120
2575;1;120
2576;1;120
2577;1;120
2578;1;120
2579;1;120
2580;1;120
2581;1;120
2582;1;120
mon;1;120
2584;1;120
2585;1;120
2586;1;120
2587;1;120
2588;1;120
2589;1;120
2590;1;120
2591;1;120
2592;1;120
2593;1;120
2594;1;120
2595;1;120
2596;1;120
2597;1;120
2598;1;120
2599;1;120
zebrasrv;1;120
zebra;1;120
ripd;1;120
ripngd;1;120
ospfd;1;120
bgpd;1;120
ospf6d;1;120
ospfapi;1;120
isisd;1;120
2609;1;120
2610;1;120
2611;1;120
2612;1;120
2613;1;120
2614;1;120
2615;1;120
2616;1;120
2617;1;120
2618;1;120
2619;1;120
2620;1;120
2621;1;120
2622;1;120
2623;1;120
2624;1;120
2625;1;120
2626;1;120
2627;1;120
dict;1;120
2629;1;120
2630;1;120
2631;1;120
2632;1;120
2633;1;120
2634;1;120
2635;1;120
2636;1;120
2637;1;120
2638;1;120
2639;1;120
2640;1;120
2641;1;120
2642;1;120
2643;1;120
2644;1;120
2645;1;120
2646;1;120
2647;1;120
2648;1;120
2649;1;120
2650;1;120
2651;1;120
2652;1;120
2653;1;120
2654;1;120
2655;1;120
2656;1;120
2657;1;120
2658;1;120
2659;1;120
2660;1;120
2661;1;120
2662;1;120
2663;1;120
2664;1;120
2665;1;120
2666;1;120
2667;1;120
2668;1;120
2669;1;120
2670;1;120
2671;1;120
2672;1;120
2673;1;120
2674;1;120
2675;1;120
2676;1;120
2677;1;120
2678;1;120
2679;1;120
2680;1;120
2681;1;120
2682;1;120
2683;1;120
2684;1;120
2685;1;120
2686;1;120
2687;1;120
2688;1;120
2689;1;120
2690;1;120
2691;1;120
2692;1;120
2693;1;120
2694;1;120
2695;1;120
2696;1;120
2697;1;120
2698;1;120
2699;1;120
2700;1;120
2701;1;120
2702;1;120
2703;1;120
2704;1;120
2705;1;120
2706;1;120
2707;1;120
2708;1;120
2709;1;120
2710;1;120
2711;1;120
2712;1;120
2713;1;120
2714;1;120
2715;1;120
2716;1;120
2717;1;120
2718;1;120
2719;1;120
2720;1;120
2721;1;120
2722;1;120
2723;1;120
2724;1;120
2725;1;120
2726;1;120
2727;1;120
2728;1;120
2729;1;120
2730;1;120
2731;1;120
2732;1;120
2733;1;120
2734;1;120
2735;1;120
2736;1;120
2737;1;120
2738;1;120
2739;1;120
2740;1;120
2741;1;120
2742;1;120
2743;1;120
2744;1;120
2745;1;120
2746;1;120
2747;1;120
2748;1;120
2749;1;120
2750;1;120
2751;1;120
2752;1;120
2753;1;120
2754;1;120
2755;1;120
2756;1;120
2757;1;120
2758;1;120
2759;1;120
2760;1;120
2761;1;120
2762;1;120
2763;1;120
2764;1;120
2765;1;120
2766;1;120
2767;1;120
2768;1;120
2769;1;120
2770;1;120
2771;1;120
2772;1;120
2773;1;120
2774;1;120
2775;1;120
2776;1;120
2777;1;120
2778;1;120
2779;1;120
2780;1;120
2781;1;120
2782;1;120
2783;1;120
2784;1;120
2785;1;120
2786;1;120
2787;1;120
2788;1;120
2789;1;120
2790;1;120
2791;1;120
f5-globalsite;1;120
2793;1;120
2794;1;120
2795;1;120
2796;1;120
2797;1;120
2798;1;120
2799;1;120
2800;1;120
2801;1;120
2802;1;120
2803;1;120
2804;1;120
2805;1;120
2806;1;120
2807;1;120
2808;1;120
2809;1;120
2810;1;120
gsiftp;1;120
2812;1;120
2813;1;120
2814;1;120
2815;1;120
2816;1;120
2817;1;120
2818;1;120
2819;1;120
2820;1;120
2821;1;120
2822;1;120
2823;1;120
2824;1;120
2825;1;120
2826;1;120
2827;1;120
2828;1;120
2829;1;120
2830;1;120
2831;1;120
2832;1;120
2833;1;120
2834;1;120
2835;1;120
2836;1;120
2837;1;120
2838;1;120
2839;1;120
2840;1;120
2841;1;120
2842;1;120
2843;1;120
2844;1;120
2845;1;120
2846;1;120
2847;1;120
2848;1;120
2849;1;120
2850;1;120
2851;1;120
2852;1;120
2853;1;120
2854;1;120
2855;1;120
2856;1;120
2857;1;120
2858;1;120
2859;1;120
2860;1;120
2861;1;120
2862;1;120
2863;1;120
2864;1;120
2865;1;120
2866;1;120
2867;1;120
2868;1;120
2869;1;120
2870;1;120
2871;1;120
2872;1;120
2873;1;120
2874;1;120
2875;1;120
2876;1;120
2877;1;120
2878;1;120
2879;1;120
2880;1;120
2881;1;120
2882;1;120
2883;1;120
2884;1;120
2885;1;120
2886;1;120
2887;1;120
2888;1;120
2889;1;120
2890;1;120
2891;1;120
2892;1;120
2893;1;120
2894;1;120
2895;1;120
2896;1;120
2897;1;120
2898;1;120
2899;1;120
2900;1;120
2901;1;120
2902;1;120
2903;1;120
2904;1;120
2905;1;120
2906;1;120
2907;1;120
2908;1;120
2909;1;120
2910;1;120
2911;1;120
2912;1;120
2913;1;120
2914;1;120
2915;1;120
2916;1;120
2917;1;120
2918;1;120
2919;1;120
2920;1;120
2921;1;120
2922;1;120
2923;1;120
2924;1;120
2925;1;120
2926;1;120
2927;1;120
2928;1;120
2929;1;120
2930;1;120
2931;1;120
2932;1;120
2933;1;120
2934;1;120
2935;1;120
2936;1;120
2937;1;120
2938;1;120
2939;1;120
2940;1;120
2941;1;120
2942;1;120
2943;1;120
2944;1;120
2945;1;120
2946;1;120
gpsd;1;120
2948;1;120
2949;1;120
2950;1;120
2951;1;120
2952;1;120
2953;1;120
2954;1;120
2955;1;120
2956;1;120
2957;1;120
2958;1;120
2959;1;120
2960;1;120
2961;1;120
2962;1;120
2963;1;120
2964;1;120
2965;1;120
2966;1;120
2967;1;120
2968;1;120
2969;1;120
2970;1;120
2971;1;120
2972;1;120
2973;1;120
2974;1;120
2975;1;120
2976;1;120
2977;1;120
2978;1;120
2979;1;120
2980;1;120
2981;1;120
2982;1;120
2983;1;120
2984;1;120
2985;1;120
2986;1;120
2987;1;120
afbackup;1;120
afmbackup;1;120
2990;1;120
2991;1;120
2992;1;120
2993;1;120
2994;1;120
2995;1;120
2996;1;120
2997;1;120
2998;1;120
2999;1;120
3000;1;120
3001;1;120
3002;1;120
3003;1;120
3004;1;120
3005;1;120
3006;1;120
3007;1;120
3008;1;120
3009;1;120
3010;1;120
3011;1;120
3012;1;120
3013;1;120
3014;1;120
3015;1;120
3016;1;120
3017;1;120
3018;1;120
3019;1;120
3020;1;120
3021;1;120
3022;1;120
3023;1;120
3024;1;120
3025;1;120
3026;1;120
3027;1;120
3028;1;120
3029;1;120
3030;1;120
3031;1;120
3032;1;120
3033;1;120
3034;1;120
3035;1;120
3036;1;120
3037;1;120
3038;1;120
3039;1;120
3040;1;120
3041;1;120
3042;1;120
3043;1;120
3044;1;120
3045;1;120
3046;1;120
3047;1;120
3048;1;120
3049;1;120
gds-db;1;120
3051;1;120
3052;1;120
3053;1;120
3054;1;120
3055;1;120
3056;1;120
3057;1;120
3058;1;120
3059;1;120
3060;1;120
3061;1;120
3062;1;120
3063;1;120
3064;1;120
3065;1;120
3066;1;120
3067;1;120
3068;1;120
3069;1;120
3070;1;120
3071;1;120
3072;1;120
3073;1;120
3074;1;120
3075;1;120
3076;1;120
3077;1;120
3078;1;120
3079;1;120
3080;1;120
3081;1;120
3082;1;120
3083;1;120
3084;1;120
3085;1;120
3086;1;120
3087;1;120
3088;1;120
3089;1;120
3090;1;120
3091;1;120
3092;1;120
3093;1;120
3094;1;120
3095;1;120
3096;1;120
3097;1;120
3098;1;120
3099;1;120
3100;1;120
3101;1;120
3102;1;120
3103;1;120
3104;1;120
3105;1;120
3106;1;120
3107;1;120
3108;1;120
3109;1;120
3110;1;120
3111;1;120
3112;1;120
3113;1;120
3114;1;120
3115;1;120
3116;1;120
3117;1;120
3118;1;120
3119;1;120
3120;1;120
3121;1;120
3122;1;120
3123;1;120
3124;1;120
3125;1;120
3126;1;120
3127;1;120
3128;1;120
3129;1;120
icpv2;1;120
3131;1;120
3132;1;120
3133;1;120
3134;1;120
3135;1;120
3136;1;120
3137;1;120
3138;1;120
3139;1;120
3140;1;120
3141;1;120
3142;1;120
3143;1;120
3144;1;120
3145;1;120
3146;1;120
3147;1;120
3148;1;120
3149;1;120
3150;1;120
3151;1;120
3152;1;120
3153;1;120
3154;1;120
3155;1;120
3156;1;120
3157;1;120
3158;1;120
3159;1;120
3160;1;120
3161;1;120
3162;1;120
3163;1;120
3164;1;120
3165;1;120
3166;1;120
3167;1;120
3168;1;120
3169;1;120
3170;1;120
3171;1;120
3172;1;120
3173;1;120
3174;1;120
3175;1;120
3176;1;120
3177;1;120
3178;1;120
3179;1;120
3180;1;120
3181;1;120
3182;1;120
3183;1;120
3184;1;120
3185;1;120
3186;1;120
3187;1;120
3188;1;120
3189;1;120
3190;1;120
3191;1;120
3192;1;120
3193;1;120
3194;1;120
3195;1;120
3196;1;120
3197;1;120
3198;1;120
3199;1;120
3200;1;120
3201;1;120
3202;1;120
3203;1;120
3204;1;120
3205;1;120
3206;1;120
3207;1;120
3208;1;120
3209;1;120
3210;1;120
3211;1;120
3212;1;120
3213;1;120
3214;1;120
3215;1;120
3216;1;120
3217;1;120
3218;1;120
3219;1;120
3220;1;120
3221;1;120
3222;1;120
3223;1;120
3224;1;120
3225;1;120
3226;1;120
3227;1;120
3228;1;120
3229;1;120
3230;1;120
3231;1;120
3232;1;120
3233;1;120
3234;1;120
3235;1;120
3236;1;120
3237;1;120
3238;1;120
3239;1;120
3240;1;120
3241;1;120
3242;1;120
3243;1;120
3244;1;120
3245;1;120
3246;1;120
3247;1;120
3248;1;120
3249;1;120
3250;1;120
3251;1;120
3252;1;120
3253;1;120
3254;1;120
3255;1;120
3256;1;120
3257;1;120
3258;1;120
3259;1;120
iscsi-target;1;120
3261;1;120
3262;1;120
3263;1;120
3264;1;120
3265;1;120
3266;1;120
3267;1;120
3268;1;120
3269;1;120
3270;1;120
3271;1;120
3272;1;120
3273;1;120
3274;1;120
3275;1;120
3276;1;120
3277;1;120
3278;1;120
3279;1;120
3280;1;120
3281;1;120
3282;1;120
3283;1;120
3284;1;120
3285;1;120
3286;1;120
3287;1;120
3288;1;120
3289;1;120
3290;1;120
3291;1;120
3292;1;120
3293;1;120
3294;1;120
3295;1;120
3296;1;120
3297;1;120
3298;1;120
3299;1;120
3300;1;120
3301;1;120
3302;1;120
3303;1;120
3304;1;120
3305;1;120
mysql;1;120
3307;1;120
3308;1;120
3309;1;120
3310;1;120
3311;1;120
3312;1;120
3313;1;120
3314;1;120
3315;1;120
3316;1;120
3317;1;120
3318;1;120
3319;1;120
3320;1;120
3321;1;120
3322;1;120
3323;1;120
3324;1;120
3325;1;120
3326;1;120
3327;1;120
3328;1;120
3329;1;120
3330;1;120
3331;1;120
3332;1;120
3333;1;120
3334;1;120
3335;1;120
3336;1;120
3337;1;120
3338;1;120
3339;1;120
3340;1;120
3341;1;120
3342;1;120
3343;1;120
3344;1;120
3345;1;120
3346;1;120
3347;1;120
3348;1;120
3349;1;120
3350;1;120
3351;1;120
3352;1;120
3353;1;120
3354;1;120
3355;1;120
3356;1;120
3357;1;120
3358;1;120
3359;1;120
3360;1;120
3361;1;120
3362;1;120
3363;1;120
3364;1;120
3365;1;120
3366;1;120
3367;1;120
3368;1;120
3369;1;120
3370;1;120
3371;1;120
3372;1;120
3373;1;120
3374;1;120
3375;1;120
3376;1;120
3377;1;120
3378;1;120
3379;1;120
3380;1;120
3381;1;120
3382;1;120
3383;1;120
3384;1;120
3385;1;120
3386;1;120
3387;1;120
3388;1;120
3389;1;120
3390;1;120
3391;1;120
3392;1;120
3393;1;120
3394;1;120
3395;1;120
3396;1;120
3397;1;120
3398;1;120
3399;1;120
3400;1;120
3401;1;120
3402;1;120
3403;1;120
3404;1;120
3405;1;120
3406;1;120
3407;1;120
3408;1;120
3409;1;120
3410;1;120
3411;1;120
3412;1;120
3413;1;120
3414;1;120
3415;1;120
3416;1;120
3417;1;120
3418;1;120
3419;1;120
